package name,version,source,downloads,language
google-gax,,pypi,"{u'last_month': 713678, u'last_week': 176591, u'last_day': 29334}",python
graphviz,,pypi,"{u'last_month': 707926, u'last_week': 197477, u'last_day': 27772}",python
fuzzywuzzy,,pypi,"{u'last_month': 700277, u'last_week': 167435, u'last_day': 27010}",python
nvidia-ml-py3,,pypi,"{u'last_month': 697821, u'last_week': 179746, u'last_day': 35547}",python
zc.lockfile,,pypi,"{u'last_month': 697785, u'last_week': 172999, u'last_day': 25094}",python
cssselect,,pypi,"{'overall': 3325868, u'last_month': 696933, u'last_week': 175993, u'last_day': 29537}",python
gspread,,pypi,"{u'last_month': 691217, u'last_week': 166293, u'last_day': 25184}",python
hiredis,,pypi,"{'overall': 2275424, u'last_month': 685870, u'last_week': 145877, u'last_day': 26759}",python
pendulum,,pypi,"{u'last_month': 677250, u'last_week': 154835, u'last_day': 25951}",python
execnet,,pypi,"{u'last_month': 670260, u'last_week': 161095, u'last_day': 28737}",python
constantly,,pypi,"{'overall': 3200992, u'last_month': 669647, u'last_week': 163184, u'last_day': 27332}",python
jupyter,,pypi,"{u'last_month': 668857, u'last_week': 159568, u'last_day': 27979}",python
