package name,version,source,downloads,language
theseer/fdomdocument,,packagist,"{u'last_month': 434752, u'overall': 12214267, u'last_day': 20007}",php
google/auth,,packagist,"{u'last_month': 747379, u'overall': 12148805, u'last_day': 33658}",php
behat/mink-selenium2-driver,,packagist,"{u'last_month': 382779, u'overall': 12114776, u'last_day': 17846}",php
sebastian/finder-facade,,packagist,"{u'last_month': 437337, u'overall': 12097331, u'last_day': 20234}",php
php-amqplib/php-amqplib,,packagist,"{u'last_month': 598293, u'overall': 12025216, u'last_day': 28031}",php
maximebf/debugbar,,packagist,"{u'last_month': 443945, u'overall': 12007962, u'last_day': 20085}",php
knplabs/knp-menu-bundle,,packagist,"{u'last_month': 305450, u'overall': 11970923, u'last_day': 14901}",php
league/flysystem-aws-s3-v3,,packagist,"{u'last_month': 611957, u'overall': 11843711, u'last_day': 26306}",php
kriswallsmith/buzz,,packagist,"{u'last_month': 261728, u'overall': 11827357, u'last_day': 12096}",php
illuminate/support,,packagist,"{u'last_month': 462140, u'overall': 11802226, u'last_day': 20061}",php
ocramius/package-versions,,packagist,"{u'last_month': 930895, u'overall': 11798947, u'last_day': 46074}",php
nelmio/api-doc-bundle,,packagist,"{u'last_month': 332786, u'overall': 11541672, u'last_day': 14339}",php
barryvdh/laravel-debugbar,,packagist,"{u'last_month': 444947, u'overall': 11392453, u'last_day': 18818}",php
danielstjules/stringy,,packagist,"{u'last_month': 209006, u'overall': 11348822, u'last_day': 9610}",php
zendframework/zend-servicemanager,,packagist,"{u'last_month': 383372, u'overall': 11341298, u'last_day': 18202}",php
symfony/property-access,,packagist,"{u'last_month': 750761, u'overall': 11330145, u'last_day': 35543}",php
symfony/security-core,,packagist,"{u'last_month': 181354, u'overall': 11329867, u'last_day': 10153}",php
behat/mink-goutte-driver,,packagist,"{u'last_month': 322100, u'overall': 11211932, u'last_day': 14016}",php
barryvdh/laravel-ide-helper,,packagist,"{u'last_month': 412688, u'overall': 11000615, u'last_day': 18127}",php
phenx/php-font-lib,,packagist,"{u'last_month': 434975, u'overall': 10979958, u'last_day': 19211}",php
dompdf/dompdf,,packagist,"{u'last_month': 407145, u'overall': 10672593, u'last_day': 19029}",php
stack/builder,,packagist,"{u'last_month': 254908, u'overall': 10663363, u'last_day': 10908}",php
mikey179/vfsstream,,packagist,"{u'last_month': 403767, u'overall': 10662790, u'last_day': 18156}",php
zendframework/zend-loader,,packagist,"{u'last_month': 409928, u'overall': 10606760, u'last_day': 20027}",php
