package name,version,source,downloads,language
apitaxdrivers,,pypi,"{'overall': 15040, u'last_month': 125, u'last_week': 20, u'last_day': 0}",python
apk-launch,,pypi,"{'overall': 3909, u'last_month': 64, u'last_week': 14, u'last_day': 0}",python
APLpy,,pypi,{},python
APMonitor,,pypi,{},python
apocell,,pypi,"{'overall': 1478, u'last_month': 43, u'last_week': 7, u'last_day': 0}",python
apocrypha,,pypi,"{'overall': 5206, u'last_month': 65, u'last_week': 15, u'last_day': 0}",python
app-basementass,,pypi,"{'overall': 748, u'last_month': 504, u'last_week': 241, u'last_day': 31}",python
appdo,,pypi,"{'overall': 1937, u'last_month': 54, u'last_week': 9, u'last_day': 0}",python
appeus.content,,pypi,"{'overall': 593, u'last_month': 38, u'last_week': 4, u'last_day': 0}",python
appier,,pypi,"{'overall': 582122, u'last_month': 13814, u'last_week': 4039, u'last_day': 305}",python
appinit,,pypi,"{'overall': 424, u'last_month': 34, u'last_week': 6, u'last_day': 1}",python
APPLPy,,pypi,{},python
app-map,,pypi,{},python
app-music,,pypi,{},python
appngizer,,pypi,{},python
appnope,,pypi,{},python
appomaticcore,,pypi,{},python
apptools,,pypi,{},python
apptrace,,pypi,{},python
appy,,pypi,{},python
appypod,,pypi,{},python
appy.pod,,pypi,{},python
APScheduler,,pypi,{},python
apslite-agent,,pypi,{},python
apssh,,pypi,{},python
apsw,,pypi,{},python
apsw-cledoux,,pypi,{},python
aptdaemon,,pypi,{},python
aptly-ctl,,pypi,{},python
apycot,,pypi,{},python
aquests,,pypi,{},python
archelond,,pypi,{},python
archetypes.linguakeywordwidget,,pypi,{},python
archetypes.rolefield,,pypi,{},python
archgenxml,,pypi,{},python
archmage,,pypi,"{'overall': 1067, u'last_month': 41, u'last_week': 8, u'last_day': 1}",python
archon,,pypi,"{'overall': 5321, u'last_month': 69, u'last_week': 12, u'last_day': 0}",python
arctic,,pypi,"{'overall': 100954, u'last_month': 2425, u'last_week': 605, u'last_day': 86}",python
ardj,,pypi,"{'overall': 25278, u'last_month': 279, u'last_week': 60, u'last_day': 3}",python
Arduinozore,,pypi,{},python
ardurpc,,pypi,"{'overall': 583, u'last_month': 35, u'last_week': 5, u'last_day': 2}",python
aredis,,pypi,"{'overall': 24876, u'last_month': 5450, u'last_week': 985, u'last_day': 125}",python
arelle,,pypi,"{'overall': 14690, u'last_month': 584, u'last_week': 95, u'last_day': 2}",python
are-you-a-human,,pypi,"{'overall': 5375, u'last_month': 135, u'last_week': 29, u'last_day': 3}",python
argcompd,,pypi,"{'overall': 1015, u'last_month': 42, u'last_week': 10, u'last_day': 2}",python
arghandler,,pypi,"{'overall': 5556, u'last_month': 487, u'last_week': 139, u'last_day': 32}",python
argo-ams-library,,pypi,"{'overall': 2973, u'last_month': 83, u'last_week': 23, u'last_day': 10}",python
argonautica,,pypi,"{'overall': 1223, u'last_month': 44, u'last_week': 11, u'last_day': 2}",python
argopt,,pypi,"{'overall': 13228, u'last_month': 1428, u'last_week': 405, u'last_day': 54}",python
argproc,,pypi,"{'overall': 2006, u'last_month': 71, u'last_week': 14, u'last_day': 2}",python
argus-toolbelt,,pypi,"{'overall': 52029, u'last_month': 1383, u'last_week': 555, u'last_day': 27}",python
argweaver,,pypi,"{'overall': 592, u'last_month': 36, u'last_week': 5, u'last_day': 2}",python
argy,,pypi,"{'overall': 991, u'last_month': 38, u'last_week': 6, u'last_day': 2}",python
ariane_clip3,,pypi,{},python
ariba,,pypi,"{'overall': 20980, u'last_month': 2246, u'last_week': 588, u'last_day': 75}",python
arithmetic,,pypi,"{'overall': 3260, u'last_month': 79, u'last_week': 16, u'last_day': 3}",python
arkcclient,,pypi,"{'overall': 13290, u'last_month': 118, u'last_week': 23, u'last_day': 4}",python
arkcserver,,pypi,"{'overall': 13745, u'last_month': 170, u'last_week': 30, u'last_day': 5}",python
arm_pyart,,pypi,{},python
arroyo,,pypi,"{'overall': 5279, u'last_month': 119, u'last_week': 37, u'last_day': 2}",python
arroyo-crypto,,pypi,"{'overall': 6606, u'last_month': 82, u'last_week': 13, u'last_day': 2}",python
arsenal,,pypi,"{'overall': 1943, u'last_month': 66, u'last_week': 15, u'last_day': 6}",python
artagger,,pypi,"{'overall': 1587, u'last_month': 139, u'last_week': 11, u'last_day': 2}",python
