source,target,distance
apfelbox/php-file-download,apfelbox/php-file-download,0
amzn/amazon-payments-magento-2-plugin,amzn/amazon-payments-magento-2-plugin,0
2tvenom/cborencode,2tvenom/cborencode,0
aimeos/ai-laravel,aimeos/ai-laravel,0
alb/zwig,alb/zwig,0
aasisvinayak/shop,aasisvinayak/shop,0
10up/elasticpress,10up/elasticpress,0
anomaly/xml_feed_widget-extension,anomaly/xml_feed_widget-extension,0
anomaly/user_security_check-extension,anomaly/user_security_check-extension,0
ajimix/asana-api-php-class,ajimix/asana-api-php-class,0
achse/nette-date-time-input,achse/nette-date-time-input,0
2bj/phanybar,2bj/phanybar,0
91carriage/phpunit-hhi,91carriage/phpunit-hhi,0
alanbem/josser,alanbem/josser,0
addwiki/mediawiki-datamodel,addwiki/mediawiki-datamodel,0
alex198710/pnotify,alex198710/pnotify,0
adrienbrault/statsd-collector,adrienbrault/statsd-collector,0
aimeos/ai-client-jsonapi,aimeos/ai-client-jsonapi,0
acquia/lightning-project,acquia/lightning-project,0
akeneo-labs/custom-entity-bundle,akeneo-labs/custom-entity-bundle,0
acacha/adminlte-laravel-installer,acacha/adminlte-laravel-installer,0
99designs/sipht,99designs/sipht,0
andrioli/hello-composer,andrioli/hello-composer,0
adam-paterson/oauth2-slack,adam-paterson/oauth2-slack,0
admad/cakephp-hybridauth,admad/cakephp-hybridauth,0
apix/cache,anax/cache,2
99designs/facade,99designs/facade,0
addwiki/mediawiki-api,addwiki/mediawiki-api,0
achse/template-helper,achse/template-helper,0
aenetworks/exacttarget,aenetworks/exacttarget,0
andrej-griniuk/cakephp-fractal-transformer-view,andrej-griniuk/cakephp-fractal-transformer-view,0
adobe-marketing-cloud/marketing-cloud-php-sdk,adobe-marketing-cloud/marketing-cloud-php-sdk,0
aloframework/common,aloframework/common,0
akaunting/money,akaunting/money,0
akeneo-labs/pim-enhanced-connector,akeneo-labs/pim-enhanced-connector,0
ampersand/category-code,ampersand/category-code,0
anomaly/robots-extension,anomaly/robots-extension,0
aaemnnosttv/wp-cli-dotenv-command,aaemnnosttv/wp-cli-dotenv-command,0
andig/php-shunting-yard,andig/php-shunting-yard,0
abodeo/laravel-stripe,abodeo/laravel-stripe,0
and/oauth,and/oauth,0
anomaly/sitemap-extension,anomaly/sitemap-extension,0
alorel/dropbox-v2-php,alorel/dropbox-v2-php,0
aimeos/aimeos-laravel,aimeos/aimeos-laravel,0
ancarebeca/full-calendar-bundle,ancarebeca/full-calendar-bundle,0
aoepeople/crawler,aoepeople/crawler,0
agavi/agavi,agavi/agavi,0
99designs/cabinet,99designs/cabinet,0
adamquaile/behat-command-runner-extension,adamquaile/behat-command-runner-extension,0
99designs/http-signatures-guzzle,99designs/http-signatures-guzzle,0
api-clients/middleware,api-clients/middleware,0
acquia/acquia-sdk-php-cloud-api,acquia/acquia-sdk-php-cloud-api,0
api-clients/command-bus,api-clients/command-bus,0
aimeos/ai-admin-extadm,aimeos/ai-admin-extadm,0
2amigos/yii2-taggable-behavior,2amigos/yii2-taggable-behavior,0
alexandresalome/doctrine-extra-bundle,alexandresalome/doctrine-extra-bundle,0
alexacrm/php-crm-toolkit,alexacrm/php-crm-toolkit,0
99designs/rightsignature-php,99designs/rightsignature-php,0
adrienbrault/itunes-client,adrienbrault/itunes-client,0
alb/oembed,alb/oembed,0
anam/phantommagick,anam/phantommagick,0
7elix/styleguide,7elix/styleguide,0
anam/phantomjs-linux-x86-binary,anam/phantomjs-linux-x86-binary,0
akrabat/rka-slim-session-middleware,akrabat/rka-slim-session-middleware,0
actuallymab/laravel-comment,actuallymab/laravel-comment,0
alchemy/rest-bundle,alchemy/rest-bundle,0
acuityscheduling/acuityscheduling,acuityscheduling/acuityscheduling,0
agmscode/omnipay-agms,agmscode/omnipay-agms,0
alanly/traktor,alanly/traktor,0
andreas22/omnipay-fasapay,andreas22/omnipay-fasapay,0
ajshort/silverstripe-gridfieldextensions,ajshort/silverstripe-gridfieldextensions,0
2amigos/yii2-leaflet-extension,2amigos/yii2-leaflet-extension,0
acacha/llum,acacha/llum,0
anahkiasen/arrounded,anahkiasen/arrounded,0
amphp/parallel-functions,amphp/parallel-functions,0
aoepeople/aoe_dbretry,aoepeople/aoe_dbretry,0
acpmasquerade/sms-counter-php,acpmasquerade/sms-counter-php,0
allocine/twigcs,allocine/twigcs,0
algolia/laravel-scout-settings,algolia/laravel-scout-settings,0
alaczi/twig-country-extension,alaczi/twig-country-extension,0
abacaphiliac/psr-log4php,abacaphiliac/psr-log4php,0
aboutyou/auth-sdk,aboutyou/auth-sdk,0
aboutyou/jws,aboutyou/jws,0
andig/dbcopy,andig/dbcopy,0
adaojunior/passport-social-grant,adaojunior/passport-social-grant,0
alchemyapi/php-sdk,alchemyapi/php-sdk,0
ampache/ampacheapi-php,ampache/ampacheapi-php,0
algorit/service-manager,algorit/service-manager,0
algorit/addressing,algorit/addressing,0
alcaeus/cli-output-checkstyle-parser,alcaeus/cli-output-checkstyle-parser,0
andersondanilo/cnab_yaml,andersondanilo/cnab_yaml,0
antoniotajuelo/akismet-php,antoniotajuelo/akismet-php,0
api-clients/hydrator,api-clients/hydrator,0
alcaeus/liquibase,alcaeus/liquibase,0
ademarre/binary-to-text-php,ademarre/binary-to-text-php,0
akaunting/setting,akaunting/setting,0
angyvolin/silex-workflow,angyvolin/silex-workflow,0
2amigos/yii2-switch-widget,2amigos/yii2-switch-widget,0
aequasi/environment,aequasi/environment,0
api-clients/foundation,api-clients/foundation,0
alfred-nutile-inc/incomings-client,alfred-nutile-inc/incomings-client,0
anyx/login-gate-bundle,anyx/login-gate-bundle,0
alexia/php7mar,alexia/php7mar,0
alterphp/easyadmin-extension-bundle,alterphp/easyadmin-extension-bundle,0
2amigos/yiiwheels,2amigos/yiiwheels,0
alt-three/storage,alt-three/storage,0
andersondanilo/cnab_php,andersondanilo/cnab_php,0
anomaly/repeater-field_type,anomaly/repeater-field_type,0
alphacomm/alpharpc,alphacomm/alpharpc,0
alexshelkov/simpleacl,alexshelkov/simpleacl,0
algolia/algoliasearch-magento,algolia/algoliasearch-magento-2,2
algolia/algoliasearch-magento,algolia/algoliasearch-magento,0
alfallouji/dhl_api,alfallouji/dhl_api,0
aik099/coding-standard,aik099/coding-standard,0
ambroisemaupate/intervention-request,ambroisemaupate/intervention-request,0
2amigos/yii-aws,2amigos/yii-aws,0
aidantwoods/secureheaders,aidantwoods/secureheaders,0
activecollab/databaseconnection,activecollab/databaseconnection,0
akrabat/rka-slim-controller,akrabat/rka-slim-controller,0
admad/cakephp-glide,admad/cakephp-glide,0
